year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_Category,ADM1_NAME,ADM1_COD_AB_UA,ADM1_COD_AB_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Mykolayiv oblast,Миколаївська,Mykolaivska,UA48,600211,518936,1119147,23617,30960,29029,23932,26732,35777,46693,44504,41651,41128,39541,46886,44823,40877,29177,23385,31499,25185,33238,30995,25410,28384,38308,49254,46386,40162,37549,33048,36567,31516,25344,15703,10062,11825,48802,64198,60024,49342,55116,74085,95947,90890,81813,78677,72589,83453,76339,66221,44880,33447,43324
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Odesa oblast,Одеська,Odeska,UA51,1251411,1114759,2366170,58940,70866,64309,53774,60173,77837,97158,93617,88894,87033,79755,88798,85650,80682,57671,45150,61104,63633,75534,68764,55883,64345,82685,100716,106232,84407,80253,68952,70965,60875,50727,32442,21454,26892,122573,146400,133073,109657,124518,160522,197874,199849,173301,167286,148707,159763,146525,131409,90113,66604,87996
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Poltava oblast,Полтавська,Poltavska,UA53,742254,636886,1379140,27809,34346,32874,27084,31701,42896,55727,53505,52630,53573,52458,57647,54096,50240,38567,31006,46095,29524,36982,35226,28619,34079,46570,59116,54303,50384,49245,44954,47072,38821,31318,20558,13444,16671,57333,71328,68100,55703,65780,89466,114843,107808,103014,102818,97412,104719,92917,81558,59125,44450,62766
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Rivne oblast,Рівненська,Rivnenska,UA56,604599,547302,1151901,34530,42188,38297,31801,34987,40010,45326,45527,40440,38954,35944,40539,39609,29609,22561,18421,25856,36273,43940,40370,33650,36004,41563,48025,43594,39740,37856,32933,34256,30442,19618,12707,8038,8293,70803,86128,78667,65451,70991,81573,93351,89121,80180,76810,68877,74795,70051,49227,35268,26459,34149
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Sumy oblast,Сумська,Sumska,UA59,576668,489387,1066055,19115,25007,24067,20286,25146,32724,42721,42484,40349,41125,39664,46579,46168,41811,29992,22114,37316,20621,26485,25340,21781,26590,34171,45351,41573,38652,37413,34377,37416,33215,27062,16551,9279,13510,39736,51492,49407,42067,51736,66895,88072,84057,79001,78538,74041,83995,79383,68873,46543,31393,50826
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Ternopil oblast,Тернопільська,Ternopilska,UA61,550773,484671,1035444,22851,28657,28144,24681,29453,35958,41335,43201,37586,36963,35359,40189,38897,30410,24121,21017,31951,24011,30167,29557,26118,30653,37200,42902,40482,36750,34889,32758,34631,30450,20430,13899,9439,10335,46862,58824,57701,50799,60106,73158,84237,83683,74336,71852,68117,74820,69347,50840,38020,30456,42286
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Vinnytsya oblast,Вінницька,Vinnytska,UA05,825628,712703,1538331,33439,41982,40153,34915,39491,50113,60347,57649,55558,57616,54688,60698,56640,52159,38330,36860,54990,35908,44743,42124,37233,42135,52693,63996,55661,51593,53170,49198,50524,42701,34189,21647,16123,19065,69347,86725,82277,72148,81626,102806,124343,113310,107151,110786,103886,111222,99341,86348,59977,52983,74055
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Volyn oblast,Волинська,Volynska,UA07,542963,485730,1028693,28907,35338,33912,27218,28511,35559,42248,43092,37072,35467,32127,36761,35919,27829,19914,16546,26543,30515,37809,36070,28990,30065,37185,43437,40193,36101,33547,29398,30452,27209,18138,11527,7033,8061,59422,73147,69982,56208,58576,72744,85685,83285,73173,69014,61525,67213,63128,45967,31441,23579,34604
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Zakarpattya oblast,Закарпатська,Zakarpatska,UA21,649438,601520,1250958,35428,44249,40521,34076,37032,45010,51802,50689,45587,43531,39671,44335,40873,32857,24825,17171,21781,37790,46658,43198,36034,38521,47310,52327,50271,46161,42655,36733,37481,31799,23029,14843,8668,8042,73218,90907,83719,70110,75553,92320,104129,100960,91748,86186,76404,81816,72672,55886,39668,25839,29823
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Zaporizhzhya oblast,Запорізька,Zaporizka,UA23,916499,770113,1686612,33885,43832,41532,34476,36339,50872,69039,68057,64148,62670,61450,72657,71520,66901,46532,37267,55322,35990,46367,44307,36722,38071,54236,71949,66678,63253,57073,51484,55907,49179,40439,23480,15150,19828,69875,90199,85839,71198,74410,105108,140988,134735,127401,119743,112934,128564,120699,107340,70012,52417,75150
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Zhytomyr oblast,Житомирська,Zhytomyrska,UA18,645844,563137,1208981,27877,35575,33334,27888,32319,40858,46838,44410,43058,44107,42017,46173,45300,39442,29082,25753,41813,29806,37732,35155,30068,33523,43579,50477,46292,41001,40858,37539,38500,33176,25312,15388,10700,14031,57683,73307,68489,57956,65842,84437,97315,90702,84059,84965,79556,84673,78476,64754,44470,36453,55844
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Crimea,Крим,Krym,UA01,1052288,889617,1941905,53789,58704,52819,40733,42968,58806,81853,80305,71782,67901,67194,80050,79180,71612,50604,36753,57235,56979,62190,55504,42228,43524,61458,84016,81982,67533,59338,54152,60216,53839,43616,26216,16073,20753,110768,120894,108323,82961,86492,120264,165869,162287,139315,127239,121346,140266,133019,115228,76820,52826,77988
2020,UKR,Ukraine,UA,Regular ADM-1 unit,Sevastopol,Севастопільська,Sevastopilska,UA85,213172,178288,391460,10771,11629,10234,8335,8143,12030,16566,16444,15147,13500,12606,15040,16091,15505,11778,7518,11835,11328,12112,10552,9636,8976,11554,15789,18803,13941,12360,10486,10829,10107,8656,5596,3356,4207,22099,23741,20786,17971,17119,23584,32355,35247,29088,25860,23092,25869,26198,24161,17374,10874,16042
